LECROYWaveRunnerHU,21832,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,11-Sep-2019 19:29:44,0                 
Time,Ampl
-2.500293e-07,-0.00409675
-2.499793e-07,-0.00431468
-2.499293e-07,-0.00475056
-2.498793e-07,-0.00525907
-2.498293e-07,-0.0052954
-2.497793e-07,-0.00395146
-2.497293e-07,-0.00133622
-2.496793e-07,0.000734176
-2.496293e-07,0.000625208
-2.495793e-07,-0.00093667
-2.495293e-07,-0.00264384
-2.494793e-07,-0.0044963
-2.494293e-07,-0.00613082
-2.493793e-07,-0.00700257
-2.493293e-07,-0.00732947
-2.492793e-07,-0.00732947
-2.492293e-07,-0.00718418
-2.491793e-07,-0.00696624
-2.491293e-07,-0.00634876
-2.490793e-07,-0.00525907
-2.490293e-07,-0.0044963
-2.489793e-07,-0.00438733
-2.489293e-07,-0.00467791
-2.488793e-07,-0.00507746
-2.488293e-07,-0.00547701
-2.487793e-07,-0.00584024
-2.487293e-07,-0.00613082
-2.486793e-07,-0.00627611
-2.486293e-07,-0.00634876
-2.485793e-07,-0.0064214
-2.485293e-07,-0.0064214
-2.484793e-07,-0.00638508
-2.484293e-07,-0.00714786
-2.483793e-07,-0.00892767
-2.483293e-07,-0.0105622
-2.482793e-07,-0.012233
-2.482293e-07,-0.0144487
-2.481793e-07,-0.0161559
-2.481293e-07,-0.0165554
-2.480793e-07,-0.0154658
-2.480293e-07,-0.0133954
-2.479793e-07,-0.0111434
-2.479293e-07,-0.00958148
-2.478793e-07,-0.00979942
-2.478293e-07,-0.0120151
-2.477793e-07,-0.0148846
-2.477293e-07,-0.0168823
-2.476793e-07,-0.0173182
-2.476293e-07,-0.0164828
-2.475793e-07,-0.015938
-2.475293e-07,-0.0167371
-2.474793e-07,-0.0181173
-2.474293e-07,-0.0188075
-2.473793e-07,-0.0186258
-2.473293e-07,-0.0180447
-2.472793e-07,-0.0177178
-2.472293e-07,-0.0183716
-2.471793e-07,-0.0201514
-2.471293e-07,-0.0226577
-2.470793e-07,-0.025055
-2.470293e-07,-0.0274523
-2.469793e-07,-0.0298132
-2.469293e-07,-0.0317383
-2.468793e-07,-0.0335182
-2.468293e-07,-0.0353343
-2.467793e-07,-0.0364603
-2.467293e-07,-0.0366782
-2.466793e-07,-0.0363877
-2.466293e-07,-0.0362787
-2.465793e-07,-0.0366419
-2.465293e-07,-0.0368235
-2.464793e-07,-0.0368598
-2.464293e-07,-0.0372231
-2.463793e-07,-0.0372957
-2.463293e-07,-0.0368598
-2.462793e-07,-0.0361697
-2.462293e-07,-0.0358791
-2.461793e-07,-0.0358428
-2.461293e-07,-0.0347895
-2.460793e-07,-0.0330096
-2.460293e-07,-0.0322832
-2.459793e-07,-0.0330096
-2.459293e-07,-0.0335545
-2.458793e-07,-0.0327917
-2.458293e-07,-0.0314841
-2.457793e-07,-0.0305034
-2.457293e-07,-0.02945
-2.456793e-07,-0.0281424
-2.456293e-07,-0.0277065
-2.455793e-07,-0.0285783
-2.455293e-07,-0.0287599
-2.454793e-07,-0.0274886
-2.454293e-07,-0.0259994
-2.453793e-07,-0.0246554
-2.453293e-07,-0.0232388
-2.452793e-07,-0.0224034
-2.452293e-07,-0.0227666
-2.451793e-07,-0.0236747
-2.451293e-07,-0.0240016
-2.450793e-07,-0.0242922
-2.450293e-07,-0.0253092
-2.449793e-07,-0.0261446
-2.449293e-07,-0.0263626
-2.448793e-07,-0.0262536
-2.448293e-07,-0.025963
-2.447793e-07,-0.0256361
-2.447293e-07,-0.0253455
-2.446793e-07,-0.0251276
-2.446293e-07,-0.0249823
