LECROYWaveRunnerHU,21832,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,11-Sep-2019 19:29:45,0                 
Time,Ampl
-2.500253e-07,-0.0165918
-2.499753e-07,-0.0157927
-2.499253e-07,-0.0141945
-2.498753e-07,-0.0120514
-2.498253e-07,-0.0100174
-2.497753e-07,-0.00834651
-2.497253e-07,-0.00751108
-2.496753e-07,-0.00765637
-2.496253e-07,-0.00863709
-2.495753e-07,-0.0103079
-2.495253e-07,-0.0112523
-2.494753e-07,-0.0109254
-2.494253e-07,-0.0096178
-2.493753e-07,-0.0072205
-2.493253e-07,-0.00431468
-2.492753e-07,-0.00199003
-2.492253e-07,-0.00111828
-2.491753e-07,-0.00151783
-2.491253e-07,-0.00253487
-2.490753e-07,-0.00366087
-2.490253e-07,-0.00504114
-2.489753e-07,-0.00674831
-2.489253e-07,-0.00831018
-2.488753e-07,-0.0103443
-2.488253e-07,-0.0133954
-2.487753e-07,-0.0168823
-2.487253e-07,-0.0200061
-2.486753e-07,-0.0224034
-2.486253e-07,-0.0244375
-2.485753e-07,-0.0263626
-2.485253e-07,-0.0274886
-2.484753e-07,-0.0280334
-2.484253e-07,-0.0289415
-2.483753e-07,-0.030685
-2.483253e-07,-0.032937
-2.482753e-07,-0.0347168
-2.482253e-07,-0.0359155
-2.481753e-07,-0.037441
-2.481253e-07,-0.0392208
-2.480753e-07,-0.0408553
-2.480253e-07,-0.0421266
-2.479753e-07,-0.0430347
-2.479253e-07,-0.0435796
-2.478753e-07,-0.0442334
-2.478253e-07,-0.0448508
-2.477753e-07,-0.0445603
-2.477253e-07,-0.0438701
-2.476753e-07,-0.0438338
-2.476253e-07,-0.0445239
-2.475753e-07,-0.0451051
-2.475253e-07,-0.0447782
-2.474753e-07,-0.0432526
-2.474253e-07,-0.0409643
-2.473753e-07,-0.038676
-2.473253e-07,-0.0363877
-2.472753e-07,-0.0336634
-2.472253e-07,-0.0308303
-2.471753e-07,-0.0283967
-2.471253e-07,-0.026181
-2.470753e-07,-0.0240379
-2.470253e-07,-0.0223308
-2.469753e-07,-0.0210958
-2.469253e-07,-0.0202967
-2.468753e-07,-0.0194976
-2.468253e-07,-0.0184442
-2.467753e-07,-0.0174272
-2.467253e-07,-0.0161922
-2.466753e-07,-0.0143034
-2.466253e-07,-0.0120151
-2.465753e-07,-0.00947251
-2.465253e-07,-0.0068936
-2.464753e-07,-0.00467791
-2.464253e-07,-0.00228061
-2.463753e-07,0.00138798
-2.463253e-07,0.00585568
-2.462753e-07,0.00959692
-2.462253e-07,0.0119942
-2.461753e-07,0.0132655
-2.461253e-07,0.013774
-2.460753e-07,0.0141736
-2.460253e-07,0.0148637
-2.459753e-07,0.0151906
-2.459253e-07,0.0148637
-2.458753e-07,0.0143189
-2.458253e-07,0.0136651
-2.457753e-07,0.012757
-2.457253e-07,0.0118126
-2.456753e-07,0.0118126
-2.456253e-07,0.0118853
-2.455753e-07,0.0108319
-2.455253e-07,0.00901576
-2.454753e-07,0.00745388
-2.454253e-07,0.00709065
-2.453753e-07,0.00734491
-2.453253e-07,0.00752653
-2.452753e-07,0.00803504
-2.452253e-07,0.00821666
-2.451753e-07,0.0066911
-2.451253e-07,0.00374896
-2.450753e-07,0.000552562
-2.450253e-07,-0.00260752
