LECROYWaveRunnerHU,21832,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,11-Sep-2019 19:29:44,0                 
Time,Ampl
-2.500438e-07,-0.0164102
-2.499938e-07,-0.00903664
-2.499438e-07,-0.00249855
-2.498938e-07,0.00291354
-2.498438e-07,0.00803504
-2.497938e-07,0.0129023
-2.497438e-07,0.0172247
-2.496938e-07,0.0209659
-2.496438e-07,0.0233632
-2.495938e-07,0.0243439
-2.495438e-07,0.024017
-2.494938e-07,0.0223099
-2.494438e-07,0.0194404
-2.493938e-07,0.0152269
-2.493438e-07,0.0103234
-2.492938e-07,0.00581936
-2.492438e-07,0.0010974
-2.491938e-07,-0.0048232
-2.491438e-07,-0.011216
-2.490938e-07,-0.0167371
-2.490438e-07,-0.02135
-2.489938e-07,-0.0254545
-2.489438e-07,-0.0286509
-2.488938e-07,-0.030467
-2.488438e-07,-0.0316294
-2.487938e-07,-0.0323195
-2.487438e-07,-0.0314478
-2.486938e-07,-0.0283967
-2.486438e-07,-0.0236021
-2.485938e-07,-0.0178994
-2.485438e-07,-0.0115066
-2.484938e-07,-0.00467791
-2.484438e-07,0.00200547
-2.483938e-07,0.00868885
-2.483438e-07,0.015009
-2.482938e-07,0.0197673
-2.482438e-07,0.0221283
-2.481938e-07,0.0224915
-2.481438e-07,0.0218014
-2.480938e-07,0.0202395
-2.480438e-07,0.0174063
-2.479938e-07,0.0131929
-2.479438e-07,0.00894311
-2.478938e-07,0.00505658
-2.478438e-07,0.000407271
-2.477938e-07,-0.00500482
-2.477438e-07,-0.0110707
-2.476938e-07,-0.0180447
-2.476438e-07,-0.0254182
-2.475938e-07,-0.0314841
-2.475438e-07,-0.0342809
-2.474938e-07,-0.034172
-2.474438e-07,-0.0330096
-2.473938e-07,-0.0318473
-2.473438e-07,-0.0305034
-2.472938e-07,-0.0285419
-2.472438e-07,-0.0261446
-2.471938e-07,-0.0232025
-2.471438e-07,-0.0185169
-2.470938e-07,-0.0121967
-2.470438e-07,-0.00525907
-2.469938e-07,0.00117005
-2.469438e-07,0.00632788
-2.468938e-07,0.00959692
-2.468438e-07,0.0101781
-2.467938e-07,0.00854356
