LECROYWaveRunnerHU,21832,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,11-Sep-2019 19:29:44,0                 
Time,Ampl
-2.500282e-07,-0.00852812
-2.499782e-07,-0.00725682
-2.499282e-07,-0.00645772
-2.498782e-07,-0.00602185
-2.498282e-07,-0.00584024
-2.497782e-07,-0.00580392
-2.497282e-07,-0.00591288
-2.496782e-07,-0.00602185
-2.496282e-07,-0.00613082
-2.495782e-07,-0.00580392
-2.495282e-07,-0.00460527
-2.494782e-07,-0.00271648
-2.494282e-07,-0.00155416
-2.493782e-07,-0.00213532
-2.493282e-07,-0.00351558
-2.492782e-07,-0.00507746
-2.492282e-07,-0.00758373
-2.491782e-07,-0.0105985
-2.491282e-07,-0.0125963
-2.490782e-07,-0.013359
-2.490282e-07,-0.013359
-2.489782e-07,-0.0129595
-2.489282e-07,-0.0120514
-2.488782e-07,-0.0106348
-2.488282e-07,-0.00918193
-2.487782e-07,-0.00798328
-2.487282e-07,-0.00707521
-2.486782e-07,-0.00649405
-2.486282e-07,-0.00616714
-2.485782e-07,-0.00602185
-2.485282e-07,-0.00598553
-2.484782e-07,-0.0064214
-2.484282e-07,-0.00776534
-2.483782e-07,-0.00939987
-2.483282e-07,-0.01009
-2.482782e-07,-0.00983574
-2.482282e-07,-0.00947251
-2.481782e-07,-0.00994471
-2.481282e-07,-0.0107438
-2.480782e-07,-0.0107801
-2.480282e-07,-0.0108528
-2.479782e-07,-0.0116519
-2.479282e-07,-0.0119788
-2.478782e-07,-0.0111797
-2.478282e-07,-0.0107438
-2.477782e-07,-0.0117245
-2.477282e-07,-0.0128505
-2.476782e-07,-0.0127416
-2.476282e-07,-0.0120151
-2.475782e-07,-0.0118335
-2.475282e-07,-0.0123783
-2.474782e-07,-0.0132138
-2.474282e-07,-0.0136133
-2.473782e-07,-0.0133954
-2.473282e-07,-0.0128868
-2.472782e-07,-0.0127052
-2.472282e-07,-0.0138312
-2.471782e-07,-0.0158653
-2.471282e-07,-0.0180447
-2.470782e-07,-0.0206599
-2.470282e-07,-0.0234931
-2.469782e-07,-0.0263263
-2.469282e-07,-0.0287236
-2.468782e-07,-0.0297043
-2.468282e-07,-0.0294137
-2.467782e-07,-0.0285419
-2.467282e-07,-0.0274886
-2.466782e-07,-0.0265442
-2.466282e-07,-0.0261446
-2.465782e-07,-0.0265442
-2.465282e-07,-0.0272343
-2.464782e-07,-0.0283603
-2.464282e-07,-0.0299222
-2.463782e-07,-0.0310482
-2.463282e-07,-0.0310119
-2.462782e-07,-0.0299585
-2.462282e-07,-0.0289778
-2.461782e-07,-0.0285783
-2.461282e-07,-0.0285419
-2.460782e-07,-0.0286872
-2.460282e-07,-0.0289052
-2.459782e-07,-0.0294863
-2.459282e-07,-0.0302128
-2.458782e-07,-0.0297043
-2.458282e-07,-0.0282514
-2.457782e-07,-0.0273433
-2.457282e-07,-0.0268711
-2.456782e-07,-0.0262899
-2.456282e-07,-0.0261446
-2.455782e-07,-0.0270164
-2.455282e-07,-0.0282877
-2.454782e-07,-0.0287599
-2.454282e-07,-0.0279608
-2.453782e-07,-0.0262899
-2.453282e-07,-0.024837
-2.452782e-07,-0.0240742
-2.452282e-07,-0.0242195
-2.451782e-07,-0.0251639
-2.451282e-07,-0.0259994
-2.450782e-07,-0.0258541
-2.450282e-07,-0.0248733
-2.449782e-07,-0.0239653
-2.449282e-07,-0.0236747
-2.448782e-07,-0.0241106
-2.448282e-07,-0.0252366
-2.447782e-07,-0.0257451
-2.447282e-07,-0.0251276
-2.446782e-07,-0.0243648
-2.446282e-07,-0.0240742
-2.445782e-07,-0.0236747
-2.445282e-07,-0.0225124
-2.444782e-07,-0.0211684
-2.444282e-07,-0.0206962
-2.443782e-07,-0.0207689
-2.443282e-07,-0.020333
-2.442782e-07,-0.0193523
-2.442282e-07,-0.0185895
-2.441782e-07,-0.0184805
-2.441282e-07,-0.0183353
-2.440782e-07,-0.0177904
-2.440282e-07,-0.0171729
-2.439782e-07,-0.0165918
-2.439282e-07,-0.01572
-2.438782e-07,-0.014485
-2.438282e-07,-0.0136496
-2.437782e-07,-0.0135407
-2.437282e-07,-0.0138312
-2.436782e-07,-0.0142671
-2.436282e-07,-0.014703
-2.435782e-07,-0.0151025
-2.435282e-07,-0.0149936
-2.434782e-07,-0.0138676
-2.434282e-07,-0.012451
-2.433782e-07,-0.0114703
-2.433282e-07,-0.0104895
-2.432782e-07,-0.00969045
-2.432282e-07,-0.00983574
-2.431782e-07,-0.0105259
-2.431282e-07,-0.0109254
-2.430782e-07,-0.0115066
-2.430282e-07,-0.0121241
-2.429782e-07,-0.0118698
-2.429282e-07,-0.0108165
-2.428782e-07,-0.00950883
-2.428282e-07,-0.00831018
-2.427782e-07,-0.00736579
-2.427282e-07,-0.00594921
-2.426782e-07,-0.00373352
-2.426282e-07,-0.00224429
-2.425782e-07,-0.00213532
-2.425282e-07,-0.00278913
-2.424782e-07,-0.0036972
-2.424282e-07,-0.00460527
-2.423782e-07,-0.00496849
-2.423282e-07,-0.00420572
-2.422782e-07,-0.00300707
-2.422282e-07,-0.00257119
-2.421782e-07,-0.00257119
-2.421282e-07,-0.0024259
-2.420782e-07,-0.00257119
-2.420282e-07,-0.00329765
-2.419782e-07,-0.00376984
-2.419282e-07,-0.00329765
-2.418782e-07,-0.00238958
-2.418282e-07,-0.00217164
-2.417782e-07,-0.00238958
-2.417282e-07,-0.00199003
-2.416782e-07,-0.00133622
-2.416282e-07,-0.00144519
-2.415782e-07,-0.00191738
-2.415282e-07,-0.00173577
-2.414782e-07,-0.000864024
-2.414282e-07,-0.00013757
-2.413782e-07,-0.000428152
-2.413282e-07,-0.00155416
-2.412782e-07,-0.0028981
-2.412282e-07,-0.00416939
-2.411782e-07,-0.00478688
-2.411282e-07,-0.00460527
-2.410782e-07,-0.00438733
-2.410282e-07,-0.00496849
-2.409782e-07,-0.00667566
-2.409282e-07,-0.00900032
-2.408782e-07,-0.0109254
-2.408282e-07,-0.0119061
-2.407782e-07,-0.0122694
-2.407282e-07,-0.0118698
-2.406782e-07,-0.011107
-2.406282e-07,-0.011107
-2.405782e-07,-0.0114339
-2.405282e-07,-0.0115429
-2.404782e-07,-0.0119061
-2.404282e-07,-0.0127052
-2.403782e-07,-0.0132138
-2.403282e-07,-0.0127052
-2.402782e-07,-0.0117972
-2.402282e-07,-0.0111797
-2.401782e-07,-0.0104532
-2.401282e-07,-0.00939987
-2.400782e-07,-0.00834651
-2.400282e-07,-0.00747476
-2.399782e-07,-0.0064214
-2.399282e-07,-0.00471423
-2.398782e-07,-0.00333397
-2.398282e-07,-0.00351558
