LECROYWaveRunnerHU,21832,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,11-Sep-2019 19:29:45,0                 
Time,Ampl
-2.50022e-07,-0.0177541
-2.49972e-07,-0.014485
-2.49922e-07,-0.0107075
-2.49872e-07,-0.0068936
-2.49822e-07,-0.00213532
-2.49772e-07,0.00382161
-2.49722e-07,0.00985118
-2.49672e-07,0.0145005
-2.49622e-07,0.0172973
-2.49572e-07,0.0190772
-2.49522e-07,0.0204211
-2.49472e-07,0.0209296
-2.49422e-07,0.0205301
-2.49372e-07,0.0197673
-2.49322e-07,0.0181328
-2.49272e-07,0.0144278
-2.49222e-07,0.00872518
-2.49172e-07,0.00255031
-2.49122e-07,-0.00362455
-2.49072e-07,-0.0103079
-2.49022e-07,-0.016955
-2.48972e-07,-0.0220402
-2.48922e-07,-0.0251639
-2.48872e-07,-0.0267258
-2.48822e-07,-0.0264715
-2.48772e-07,-0.02382
-2.48722e-07,-0.0195702
-2.48672e-07,-0.0151752
-2.48622e-07,-0.0115066
-2.48572e-07,-0.00874606
-2.48522e-07,-0.00692992
-2.48472e-07,-0.00551333
-2.48422e-07,-0.00300707
-2.48372e-07,0.0015696
-2.48322e-07,0.00759917
-2.48272e-07,0.0142099
-2.48222e-07,0.0203484
-2.48172e-07,0.0248888
-2.48122e-07,0.0274314
-2.48072e-07,0.0281942
-2.48022e-07,0.0271408
-2.47972e-07,0.0252883
-2.47922e-07,0.023
-2.47872e-07,0.0188955
-2.47822e-07,0.0130113
-2.47772e-07,0.00640052
-2.47722e-07,-0.000246538
-2.47672e-07,-0.00696624
-2.47622e-07,-0.0133954
-2.47572e-07,-0.01819
-2.47522e-07,-0.0214227
-2.47472e-07,-0.0240379
-2.47422e-07,-0.0263263
-2.47372e-07,-0.0272706
-2.47322e-07,-0.0258541
-2.47272e-07,-0.0222944
-2.47222e-07,-0.0178267
-2.47172e-07,-0.0132864
-2.47122e-07,-0.00903664
-2.47072e-07,-0.0056223
-2.47022e-07,-0.00286177
-2.46972e-07,0.000298303
-2.46922e-07,0.0042938
-2.46872e-07,0.00803504
-2.46822e-07,0.0110862
-2.46772e-07,0.013992
-2.46722e-07,0.0167525
-2.46672e-07,0.018605
-2.46622e-07,0.0188955
-2.46572e-07,0.018387
-2.46522e-07,0.0171157
-2.46472e-07,0.0133745
-2.46422e-07,0.00705433
-2.46372e-07,4.40439e-05
-2.46322e-07,-0.00649405
-2.46272e-07,-0.0125236
-2.46222e-07,-0.0176814
-2.46172e-07,-0.0219312
-2.46122e-07,-0.0257451
-2.46072e-07,-0.0291231
-2.46022e-07,-0.031702
-2.45972e-07,-0.0334818
-2.45922e-07,-0.0344989
-2.45872e-07,-0.0346442
-2.45822e-07,-0.0331186
-2.45772e-07,-0.02945
-2.45722e-07,-0.0241469
-2.45672e-07,-0.0184805
-2.45622e-07,-0.013577
-2.45572e-07,-0.00947251
-2.45522e-07,-0.0052954
-2.45472e-07,-0.00140887
-2.45422e-07,0.000952112
-2.45372e-07,0.00251399
-2.45322e-07,0.00414851
-2.45272e-07,0.00483864
-2.45222e-07,0.00411219
-2.45172e-07,0.00356735
-2.45122e-07,0.00320412
-2.45072e-07,0.00106108
-2.45022e-07,-0.00275281
-2.44972e-07,-0.00725682
-2.44922e-07,-0.012451
-2.44872e-07,-0.0187348
-2.44822e-07,-0.0256724
-2.44772e-07,-0.0321742
-2.44722e-07,-0.037441
-2.44672e-07,-0.0415092
-2.44622e-07,-0.0451051
-2.44572e-07,-0.0478656
-2.44522e-07,-0.0489553
-2.44472e-07,-0.0486284
-2.44422e-07,-0.0472481
-2.44372e-07,-0.044415
-2.44322e-07,-0.0397293
-2.44272e-07,-0.0341356
-2.44222e-07,-0.0285783
-2.44172e-07,-0.0232025
-2.44122e-07,-0.0180447
-2.44072e-07,-0.0126689
-2.44022e-07,-0.00732947
-2.43972e-07,-0.00286177
-2.43922e-07,0.000407271
-2.43872e-07,0.00251399
-2.43822e-07,0.00331309
-2.43772e-07,0.00255031
-2.43722e-07,-6.49243e-05
-2.43672e-07,-0.00511378
-2.43622e-07,-0.0117608
-2.43572e-07,-0.0176814
-2.43522e-07,-0.0223308
-2.43472e-07,-0.0266532
-2.43422e-07,-0.0313025
-2.43372e-07,-0.0356975
-2.43322e-07,-0.0396567
-2.43272e-07,-0.0434706
-2.43222e-07,-0.0473571
-2.43172e-07,-0.0514616
-2.43122e-07,-0.0549486
-2.43072e-07,-0.0567647
-2.43022e-07,-0.0563288
-2.42972e-07,-0.0532051
-2.42922e-07,-0.0484831
-2.42872e-07,-0.0433616
-2.42822e-07,-0.0380585
-2.42772e-07,-0.0323922
-2.42722e-07,-0.0259267
-2.42672e-07,-0.0193886
-2.42622e-07,-0.0138312
-2.42572e-07,-0.00896399
-2.42522e-07,-0.00409675
-2.42472e-07,-0.000428152
-2.42422e-07,0.00127902
-2.42372e-07,0.00207812
-2.42322e-07,0.0018965
-2.42272e-07,-0.000319183
-2.42222e-07,-0.00435101
-2.42172e-07,-0.00903664
-2.42122e-07,-0.0132864
-2.42072e-07,-0.0173545
-2.42022e-07,-0.0214953
-2.41972e-07,-0.024946
-2.41922e-07,-0.0282514
-2.41872e-07,-0.0320652
-2.41822e-07,-0.0355522
-2.41772e-07,-0.0379132
-2.41722e-07,-0.0396567
-2.41672e-07,-0.040819
-2.41622e-07,-0.0403468
-2.41572e-07,-0.0379495
-2.41522e-07,-0.034172
-2.41472e-07,-0.0295953
-2.41422e-07,-0.0245101
-2.41372e-07,-0.0185532
-2.41322e-07,-0.0111434
-2.41272e-07,-0.00384249
-2.41222e-07,0.00142431
-2.41172e-07,0.00480232
-2.41122e-07,0.00738124
-2.41072e-07,0.00952428
-2.41022e-07,0.0107229
-2.40972e-07,0.0108319
-2.40922e-07,0.0107592
-2.40872e-07,0.010614
-2.40822e-07,0.00966957
-2.40772e-07,0.00770814
-2.40722e-07,0.00440277
-2.40672e-07,-0.000210215
-2.40622e-07,-0.00551333
-2.40572e-07,-0.0110344
-2.40522e-07,-0.016955
-2.40472e-07,-0.0236021
-2.40422e-07,-0.029559
-2.40372e-07,-0.0330096
-2.40322e-07,-0.0350074
-2.40272e-07,-0.0370778
-2.40222e-07,-0.0388213
-2.40172e-07,-0.0386033
-2.40122e-07,-0.03508
-2.40072e-07,-0.0296679
