1.0 0 18.510204081632654 0
1.0 4 17.510204081632654 0
1.0 8 16.510204081632654 0
1.0 12 15.510204081632653 0
1.0 16 15.0 0
1.0 20 14.0 0
1.0 24 13.510204081632653 0
1.0 28 12.510204081632653 1
1.0 32 11.510204081632653 1
1.0 36 10.510204081632653 1
1.0 40 9.510204081632653 1
1.04 0 20.0 0
1.04 4 19.0 0
1.04 8 18.0 0
1.04 12 17.489795918367346 0
1.04 16 16.510204081632654 0
1.04 20 15.510204081632653 0
1.04 24 14.510204081632653 0
1.04 28 13.510204081632653 0
1.04 32 12.510204081632653 1
1.04 36 11.510204081632653 1
1.04 40 10.510204081632653 1
1.08 0 21.387755102040817 0
1.08 4 20.510204081632654 0
1.08 8 19.510204081632654 0
1.08 12 18.510204081632654 0
1.08 16 17.510204081632654 0
1.08 20 16.510204081632654 0
1.08 24 15.510204081632653 0
1.08 28 14.510204081632653 0
1.08 32 13.510204081632653 0
1.08 36 12.510204081632653 1
1.08 40 11.510204081632653 1
1.12 0 22.510204081632654 0
1.12 4 21.510204081632654 0
1.12 8 20.510204081632654 0
1.12 12 19.510204081632654 0
1.12 16 18.510204081632654 0
1.12 20 17.510204081632654 0
1.12 24 16.510204081632654 0
1.12 28 15.510204081632653 0
1.12 32 14.510204081632653 0
1.12 36 13.510204081632653 0
1.12 40 12.510204081632653 1
1.16 0 23.510204081632654 1
1.16 4 22.510204081632654 0
1.16 8 21.510204081632654 0
1.16 12 20.510204081632654 0
1.16 16 19.510204081632654 0
1.16 20 18.510204081632654 0
1.16 24 17.510204081632654 0
1.16 28 16.510204081632654 0
1.16 32 15.510204081632653 0
1.16 36 14.510204081632653 0
1.16 40 13.510204081632653 0
1.2 0 24.0 1
1.2 4 23.0 0
1.2 8 22.0 0
1.2 12 21.0 0
1.2 16 20.0 0
1.2 20 19.102040816326532 0
1.2 24 18.510204081632654 0
1.2 28 17.510204081632654 0
1.2 32 16.510204081632654 0
1.2 36 15.510204081632653 0
1.2 40 14.510204081632653 0
1.24 0 25.0 1
1.24 4 24.0 1
1.24 8 23.0 0
1.24 12 22.0 0
1.24 16 21.0 0
1.24 20 20.0 0
1.24 24 19.0 0
1.24 28 18.0 0
1.24 32 17.0 0
1.24 36 16.0 0
1.24 40 15.510204081632653 0
1.28 0 26.0 1
1.28 4 25.0 1
1.28 8 23.510204081632654 1
1.28 12 22.510204081632654 0
1.28 16 21.510204081632654 0
1.28 20 20.510204081632654 0
1.28 24 19.510204081632654 0
1.28 28 18.510204081632654 0
1.28 32 17.510204081632654 0
1.28 36 16.510204081632654 0
1.28 40 15.510204081632653 0
1.32 0 26.510204081632654 1
1.32 4 25.510204081632654 1
1.32 8 24.510204081632654 1
1.32 12 23.510204081632654 1
1.32 16 22.510204081632654 0
1.32 20 21.510204081632654 0
1.32 24 20.510204081632654 0
1.32 28 19.510204081632654 0
1.32 32 18.510204081632654 0
1.32 36 17.510204081632654 0
1.32 40 16.510204081632654 0
1.36 0 27.0 1
1.36 4 26.0 1
1.36 8 25.0 1
1.36 12 24.0 1
1.36 16 23.0 0
1.36 20 22.0 0
1.36 24 21.0 0
1.36 28 20.0 0
1.36 32 19.0 0
1.36 36 18.0 0
1.36 40 17.0 0
1.4 0 28.0 1
1.4 4 27.0 1
1.4 8 26.0 1
1.4 12 25.0 1
1.4 16 23.551020408163264 1
1.4 20 22.510204081632654 0
1.4 24 21.510204081632654 0
1.4 28 20.510204081632654 0
1.4 32 19.510204081632654 0
1.4 36 18.510204081632654 0
1.4 40 17.510204081632654 0
