1.5 4.96
2.5 5.79

5.5 5.79
6.5 5.79

9.5 6.61
10.5 7.44

13.5 7.44
14.5 8.26

17.5 8.26
18.5 8.26

21.5 9.92
22.5 9.92

25.5 10.74
26.5 10.74

29.5 10.74
30.5 12.4

33.5 10.74
34.5 14.05

37.5 10.74
38.5 16.53

41.5 10.74
42.5 16.53

45.5 10.74
46.5 16.53

49.5 10.74
50.5 18.18

53.5 10.74
54.5 19.01

57.5 10.74
58.5 19.01

61.5 10.74
62.5 19.01

65.5 10.74
66.5 19.83

69.5 10.74
70.5 21.49

73.5 10.74
74.5 21.49

77.5 10.74
78.5 22.31

81.5 10.74
82.5 22.31

85.5 10.74
86.5 23.97

89.5 10.74
90.5 24.79

93.5 10.74
94.5 24.79

97.5 10.74
98.5 25.62

101.5 10.74
102.5 25.62

105.5 9.92
106.5 25.62

109.5 9.92
110.5 25.62

113.5 9.92
114.5 25.62

117.5 9.92
118.5 25.62

121.5 9.92
122.5 26.45

125.5 9.92
126.5 27.27

129.5 9.92
130.5 27.27

133.5 9.92
134.5 28.1

137.5 9.92
138.5 28.1

141.5 9.92
142.5 28.1

145.5 9.92
146.5 28.1

149.5 9.92
150.5 28.1

153.5 9.92
154.5 28.1

157.5 9.92
158.5 28.1

161.5 9.92
162.5 29.75

165.5 9.92
166.5 29.75

