15.613284103955682,
19.911430205366713,
24.02844160834345,
27.968427192277748,
31.735495836561423,
35.33375642058632,
38.76731782374429,
42.040288925427156,
45.156778605026766,
48.12089574193492,
50.93674921554353,
53.60844790524437,
56.1401006904293,
58.53581645049017,
60.79970406481878,
62.93587241280702,
64.94843037384669,
66.84148682732965,
68.61915065264773,
70.28553072919274,
71.84473593635657,
73.30087515353101,
74.65805726010794,
75.92039113547918,
77.09198565903657,
78.17694971017193,
79.17939216827709,
80.10342191274394,
80.95314782296427,
81.73267877832996,
82.44612365823278,
83.09759134206465,
83.69119070921735,
84.23103063908275,
84.72122001105267,
85.16586770451896,
85.56908259887344,
85.93497357350795,
86.26764950781435,
86.57121928118448,
86.84979177301014,
87.1074758626832,
87.34838042959548,
87.57661435313884,
87.7962865127051,
88.0115057876861,
88.22638105747367,
88.44502120145968,
88.67153509903594,
88.91003162959427,
89.16461967252657,
89.43940810722462,
89.73850581308028,
90.0660216694854,
90.42606455583179,
90.8227433515113,
91.26016693591579,
91.74244418843705,
92.27368398846696,
92.85799521539735,
93.49948674862004,
94.20226746752687,
94.97044625150973,
95.8081319799604,
